File Name,2018-10-23,,,
Date,2018-10-23,,,
Test Info,Test of opening data during operation,,,
Directory,C:\Users\nf1192\Desktop\test\2018-10-23.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
2.1,920,3000,0,0
4.3,920,3000,0,0
6.4,920,3000,0,0
8.5,920,3000,0,0
10.6,918,3000,0,0
12.8,918,3000,0,0
14.9,918,3000,0,0
17.0,918,3000,0,0
19.1,914,3000,0,0
21.3,918,3000,0,0
23.4,918,3000,0,0
25.6,918,3000,0,0
27.7,918,3000,0,0
29.8,918,3000,0,0
31.9,918,3000,0,0
34.0,918,3000,0,0
36.1,920,3000,0,0
38.2,920,3000,0,0
40.3,920,3000,0,0
42.5,920,3000,0,0
44.6,920,3000,0,0
46.8,922,3000,0,0
48.9,920,3000,0,0
51.0,920,3000,0,0
53.1,918,3000,0,0
55.2,920,3000,0,0
57.3,920,3000,0,0
59.4,920,3000,0,0
61.5,920,3000,0,0
63.7,920,3000,0,0
65.9,920,3000,0,0
68.0,918,3000,0,0
70.2,920,3000,0,0
72.3,920,3000,0,0
74.4,920,3000,0,0
76.5,920,3000,0,0
78.6,920,3000,0,0
80.7,920,3000,0,0
82.9,920,3000,0,0
85.0,920,3000,0,0
87.1,920,3000,0,0
89.2,920,3000,0,0
91.3,918,3000,0,0
93.4,920,3000,0,0
95.5,920,3000,0,0
97.6,916,3000,0,0
99.7,920,3000,0,0
101.9,920,3000,0,0
104.0,920,3000,0,0
106.1,920,3000,0,0
108.2,918,3000,0,0
110.3,920,3000,0,0
112.4,920,3000,0,0
114.5,920,3000,0,0
116.6,920,3000,0,0
118.7,920,3000,0,0
120.9,920,3000,0,0
123.0,920,3000,0,0
125.2,920,3000,0,0
127.3,918,3000,0,0
129.4,920,3000,0,0
131.5,918,3000,0,0
133.7,918,3000,0,0
135.9,918,3000,0,0
138.0,918,3000,0,0
140.1,918,3000,0,0
142.2,918,3000,0,0
144.3,920,3000,0,0
146.4,920,3000,0,0
148.6,920,3000,0,0
150.7,918,3000,0,0
152.8,920,3000,0,0
154.9,920,3000,0,0
157.0,920,3000,0,0
159.2,918,3000,0,0
161.3,918,3000,0,0
163.4,918,3000,0,0
165.5,920,3000,0,0
167.6,922,3000,0,0
169.8,922,3000,0,0
171.9,922,3000,0,0
174.1,922,3000,0,0
176.2,922,3000,0,0
178.3,922,3000,0,0
180.4,922,3000,0,0
182.5,922,3000,0,0
184.6,922,3000,0,0
186.7,920,3000,0,0
188.9,922,3000,0,0
191.0,922,3000,0,0
193.1,922,3000,0,0
195.3,920,3000,0,0
197.4,922,3000,0,0
199.5,922,3000,0,0
201.6,922,3000,0,0
203.7,922,3000,0,0
205.8,922,3000,0,0
207.9,922,3000,0,0
210.1,922,3000,0,0
212.2,922,3000,0,0
214.3,924,3000,0,0
216.4,922,3000,0,0
218.5,924,3000,0,0
220.7,924,3000,0,0
222.8,924,3000,0,0
225.0,922,3000,0,0
227.1,924,3000,0,0
229.2,922,3000,0,0
231.4,924,3000,0,0
233.5,924,3000,0,0
235.7,924,3000,0,0
237.9,924,3000,0,0
240.0,924,3000,0,0
242.1,922,3000,0,0
244.3,922,3000,0,0
246.4,922,3000,0,0
248.5,922,3000,0,0
250.6,920,3000,0,0
252.7,922,3000,0,0
254.8,922,3000,0,0
256.9,922,3000,0,0
259.0,922,3000,0,0
261.2,920,3000,0,0
263.3,920,3000,0,0
265.5,922,3000,0,0
267.6,922,3000,0,0
269.7,922,3000,0,0
271.8,922,3000,0,0
273.9,922,3000,0,0
276.1,922,3000,0,0
278.2,922,3000,0,0
280.3,922,3000,0,0
282.5,920,3000,0,0
284.6,922,3000,0,0
286.7,922,3000,0,0
288.9,922,3000,0,0
291.0,922,3000,0,0
