File Name,2018-11-08 - Copy,,,,,,
Date,11/8/2018,,,,,,
Time,11:49:58,,,,,,
Test Info,User had no comments,,,,,,
Directory,C:\emms\test\2018-11-08 - Copy.csv,,,,,,
,,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,,
"1m, 1s",896,3000,0,0,,,
"2m, 2s",898,3000,0,0,,,
"3m, 3s",896,3000,0,0,,,
"4m, 4s",890,3000,0,0,,,
"5m, 5s",894,3000,1,0,,,
"6m, 6s",896,3000,1,0,,,
"7m, 7s",896,3000,1,0,,,
"8m, 9s",898,3000,1,0,,,
"9m, 10s",900,3000,1,0,,,
"10m, 11s",898,3000,1,0,,,
"11m, 12s",900,3000,2,0,,,
"12m, 13s",898,3000,2,0,,,
"13m, 14s",900,3000,2,0,,,
"14m, 15s",900,3000,2,0,,,
"15m, 16s",898,3000,2,0,,,
"16m, 18s",896,3000,2,0,,,
"17m, 19s",898,3000,2,0,,,
"18m, 20s",898,3000,3,0,,,
"19m, 21s",896,3000,3,0,,,
"20m, 22s",896,3000,3,0,,,
"21m, 23s",896,3000,3,0,,,
"22m, 24s",896,3000,3,0,,,
"23m, 25s",894,3000,3,0,,,
"24m, 26s",904,3000,4,0,,,
"25m, 28s",910,3000,4,0,,,
"26m, 29s",908,3000,4,0,,,
"27m, 30s",910,3000,4,0,,,
"28m, 31s",910,3000,4,0,,,
"29m, 32s",914,3000,4,0,,,
"30m, 33s",910,3000,4,0,,,
"31m, 34s",914,3000,5,0,,,
"32m, 35s",902,3000,5,0,,,
"33m, 36s",902,3000,5,0,,,
"34m, 38s",898,3000,5,0,,,
"35m, 39s",902,3000,5,0,,,
"36m, 40s",902,3000,5,0,,,
"37m, 41s",900,3000,6,0,,,
"38m, 42s",904,3000,6,0,,,
"39m, 43s",904,3000,6,0,,,
"40m, 44s",902,3000,6,0,,,
"41m, 45s",898,3000,6,0,,,
"42m, 47s",896,3000,6,0,,,
"43m, 48s",898,3000,6,0,,,
"44m, 49s",890,3000,7,0,,,
"45m, 50s",894,3000,7,0,,,
"46m, 51s",894,3000,7,0,,,
"47m, 52s",896,3000,7,0,,,
"48m, 53s",896,3000,7,0,,,
"49m, 54s",898,3000,7,0,,,
"50m, 56s",898,3000,8,0,,,
"51m, 57s",896,3000,8,0,,,
"52m, 58s",898,3000,8,0,,,
"53m, 59s",896,3000,8,0,,,
"55m, 0s",894,3000,8,0,,,
"56m, 1s",896,3000,8,0,,,
"57m, 2s",896,3000,8,0,,,
"58m, 4s",900,3000,9,0,,,
"59m, 5s",900,3000,9,0,,~1pm,
"6h, 16m, 49s",882,3000,56,0,,~5pm,
"6h, 17m, 50s",884,3000,56,0,,,
"6h, 18m, 52s",880,3000,57,0,,,
"6h, 19m, 53s",880,3000,57,0,,,
"6h, 20m, 54s",882,3000,57,0,,,
"6h, 21m, 55s",882,3000,57,0,,,
"6h, 22m, 56s",882,3000,57,0,,,
"6h, 23m, 57s",880,3000,57,0,,,
"6h, 24m, 58s",880,3000,57,0,,,
"6h, 26m, 0s",880,3000,58,0,,,
"6h, 27m, 1s",876,3000,58,0,,,
"6h, 28m, 2s",878,3000,58,0,,,
"6h, 29m, 3s",878,3000,58,0,,,
"6h, 30m, 4s",880,3000,58,0,,,
"6h, 31m, 5s",880,3000,58,0,,,
"6h, 32m, 6s",880,3000,58,0,,,
"6h, 33m, 7s",880,3000,59,0,,,
"6h, 34m, 9s",878,3000,59,0,,,
"6h, 35m, 10s",878,3000,59,0,,,
"6h, 36m, 11s",878,3000,59,0,,,
"6h, 37m, 12s",878,3000,59,0,,,
"6h, 38m, 13s",878,3000,59,0,,,
"6h, 39m, 14s",880,3000,60,0,,,
"6h, 40m, 15s",878,3000,60,0,,,
"6h, 41m, 16s",878,3000,60,0,,,
"6h, 42m, 18s",878,3000,60,0,,,
"6h, 43m, 19s",878,3000,60,0,,,
"6h, 44m, 20s",882,3000,60,0,,,
"6h, 45m, 21s",882,3000,60,0,,,
"6h, 46m, 22s",882,3000,61,0,,,
"6h, 47m, 23s",882,3000,61,0,,,
"6h, 48m, 24s",882,3000,61,0,,,
"6h, 49m, 25s",880,3000,61,0,,,
"6h, 50m, 27s",880,3000,61,0,,,
"6h, 51m, 28s",882,3000,61,0,,,
"6h, 52m, 29s",882,3000,61,0,,,
"6h, 53m, 30s",884,3000,62,0,,,
"6h, 54m, 31s",882,3000,62,0,,,
"6h, 55m, 32s",882,3000,62,0,,,
"6h, 56m, 33s",882,3000,62,0,,,
"6h, 57m, 34s",880,3000,62,0,,,
"6h, 58m, 36s",880,3000,62,0,,,
"6h, 59m, 37s",880,3000,63,0,,,
"7h, 38s",878,3000,63,0,,,
"7h, 1m, 39s",880,3000,63,0,,,
"7h, 2m, 40s",880,3000,63,0,,,
"7h, 3m, 41s",880,3000,63,0,,,
"7h, 4m, 43s",878,3000,63,0,,,
"7h, 5m, 44s",880,3000,63,0,,,
"7h, 6m, 45s",880,3000,64,0,,,
"7h, 7m, 46s",882,3000,64,0,,,
"7h, 8m, 47s",882,3000,64,0,,,
"7h, 9m, 48s",882,3000,64,0,,,
"7h, 10m, 49s",884,3000,64,0,,,
"7h, 11m, 50s",880,3000,64,0,,,
"7h, 12m, 52s",880,3000,64,0,,,
"7h, 13m, 53s",884,3000,65,0,,,
"7h, 14m, 54s",884,3000,65,0,,,
"7h, 15m, 55s",884,3000,65,0,,,
"7h, 18m, 24s",882,3000,65,0,,,
"7h, 19m, 25s",882,3000,65,0,,,
"7h, 20m, 26s",884,3000,66,0,,,
"7h, 21m, 27s",884,3000,66,0,,,
"7h, 22m, 28s",886,3000,66,0,,,
"7h, 23m, 29s",888,3000,66,0,,,
"7h, 24m, 30s",886,3000,66,0,,,
"7h, 25m, 32s",886,3000,66,0,,,
"7h, 26m, 33s",884,3000,66,0,,,
"7h, 27m, 34s",884,3000,67,0,,,
"7h, 28m, 35s",886,3000,67,0,,,
"7h, 29m, 36s",886,3000,67,0,,,
"7h, 30m, 37s",886,3000,67,0,,,
"7h, 31m, 38s",886,3000,67,0,,,
"7h, 32m, 39s",888,3000,67,0,,,
"7h, 33m, 41s",888,3000,68,0,,,
"7h, 34m, 42s",886,3000,68,0,,,
"7h, 35m, 43s",888,3000,68,0,,,
"7h, 36m, 44s",886,3000,68,0,,,
"7h, 37m, 45s",886,3000,68,0,,,
"7h, 38m, 46s",884,3000,68,0,,,
"7h, 39m, 47s",884,3000,68,0,,,
"7h, 40m, 49s",886,3000,69,0,,,
"7h, 41m, 50s",886,3000,69,0,,,
"7h, 42m, 51s",888,3000,69,0,,,
"7h, 43m, 52s",886,3000,69,0,,,
"7h, 44m, 53s",888,3000,69,0,,,
"7h, 45m, 54s",888,3000,69,0,,,
"7h, 46m, 55s",886,3000,69,0,,,
"7h, 47m, 56s",888,3000,70,0,,,
"7h, 48m, 58s",886,3000,70,0,,,
"7h, 49m, 59s",886,3000,70,0,,,
"7h, 51m, 0s",886,3000,70,0,,,
"7h, 52m, 1s",886,3000,70,0,,,
"7h, 53m, 2s",884,3000,70,0,,,
"7h, 54m, 3s",884,3000,71,0,,,
"7h, 55m, 4s",882,3000,71,0,,,
"7h, 56m, 5s",882,3000,71,0,,,
"7h, 57m, 6s",884,3000,71,0,,,
"7h, 58m, 8s",882,3000,71,0,,,
"7h, 59m, 9s",880,3000,71,0,,,
"8h, 10s",882,3000,71,0,,,
"8h, 1m, 11s",884,3000,72,0,,,
"8h, 2m, 12s",884,3000,72,0,,,
"8h, 3m, 13s",884,3000,72,0,,,
"8h, 4m, 14s",884,3000,72,0,,,
"8h, 5m, 16s",882,3000,72,0,,,
"8h, 6m, 17s",882,3000,72,0,,,
"8h, 7m, 18s",882,3000,72,0,,,
"8h, 8m, 19s",884,3000,73,0,,,
"8h, 9m, 20s",882,3000,73,0,,,
"8h, 10m, 21s",884,3000,73,0,,,
"8h, 11m, 22s",884,3000,73,0,,,
"8h, 12m, 24s",886,3000,73,0,,,
"8h, 13m, 25s",886,3000,73,0,,,
"8h, 14m, 26s",884,3000,74,0,,,
"8h, 15m, 27s",884,3000,74,0,,,
"8h, 16m, 28s",884,3000,74,0,,,
"8h, 17m, 29s",880,3000,74,0,,,
"8h, 18m, 30s",880,3000,74,0,,,
"8h, 19m, 32s",880,3000,74,0,,,
"8h, 20m, 33s",884,3000,74,0,,,
"8h, 21m, 34s",882,3000,75,0,,,
"8h, 22m, 35s",882,3000,75,0,,,
"8h, 23m, 36s",884,3000,75,0,,,
"8h, 24m, 37s",878,3000,75,0,,,
"8h, 25m, 38s",880,3000,75,0,,,
"8h, 26m, 40s",882,3000,75,0,,,
"8h, 27m, 41s",884,3000,75,0,,,
