File Name,BennettTest2,,,
Date,2018-10-30,,,
Test Info,User had no comments,,,
Directory,C:\emms\test\BennettTest2.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
4.1,908,3000,0,0
8.3,908,3000,0,0
12.4,908,3000,0,0
16.5,908,3000,0,0
20.6,908,3000,0,0
24.7,908,3000,0,0
28.8,906,3000,0,0
32.9,906,3000,0,0
37.0,906,3000,0,0
41.2,908,3000,0,0
45.3,906,3000,0,0
49.4,906,3000,0,0
53.5,906,3000,0,0
57.6,906,3000,0,0
61.7,906,3000,0,0
65.8,906,3000,0,0
69.8,906,3000,0,0
74.0,906,3000,0,0
78.1,906,3000,0,0
82.1,906,3000,0,0
86.2,906,3000,0,0
90.4,906,3000,0,0
94.5,906,3000,0,0
98.6,906,3000,0,0
102.7,906,3000,0,0
106.9,906,3000,0,0
110.9,906,3000,0,0
115.1,906,3000,0,0
119.2,906,3000,0,0
123.3,904,3000,0,0
127.4,906,3000,0,0
131.5,906,3000,0,0
