File Name,LTTPP-11-13-18,,,,
Date,2018-11-13,,,,
Time,11:48:13,,,,
Test Info,"Records data every 5 minutes, trying to find interruptions",,,,
Directory,C:\emms\test\LTTPP-11-13-18.csv,,,,
,,,,,
Time (Formatted),Time (Seconds),EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
"5m, 1s",301.1,884,3000,1,0
"10m, 2s",602.2,886,3000,1,0
"15m, 3s",903.3,882,3000,2,0
"20m, 4s",1204.5,882,3000,3,0
"25m, 5s",1505.6,882,3000,3,0
"30m, 6s",1806.7,882,3000,4,0
"35m, 7s",2107.8,886,3000,5,0
"40m, 8s",2408.9,886,3000,6,0
"45m, 10s",2710.0,886,3000,6,0
"50m, 11s",3011.1,888,3000,7,0
"55m, 12s",3312.2,888,3000,8,0
"1h, 13s",3613.3,886,3000,9,0
"1h, 5m, 14s",3914.4,884,3000,9,0
"1h, 10m, 15s",4215.6,882,3000,10,0
"1h, 15m, 16s",4516.7,886,3000,11,0
"1h, 20m, 17s",4817.9,884,3000,12,0
"1h, 25m, 19s",5119.0,886,3000,12,0
"1h, 30m, 20s",5420.1,882,3000,13,0
"1h, 35m, 21s",5721.2,882,3000,14,0
"1h, 40m, 22s",6022.3,882,3000,15,0
"1h, 45m, 23s",6323.4,880,3000,15,0
"1h, 50m, 24s",6624.5,884,3000,16,0
"1h, 55m, 25s",6925.6,888,3000,17,0
"2h, 26s",7226.8,886,3000,18,0
"2h, 5m, 27s",7527.9,884,3000,18,0
"2h, 10m, 29s",7829.0,884,3000,19,0
"2h, 15m, 30s",8130.1,884,3000,20,0
"2h, 20m, 31s",8431.2,888,3000,21,0
"2h, 25m, 32s",8732.3,886,3000,21,0
"2h, 30m, 33s",9033.4,886,3000,22,0
"2h, 35m, 34s",9334.6,886,3000,23,0
"2h, 40m, 35s",9635.7,886,3000,23,0
"2h, 45m, 36s",9936.8,884,3000,24,0
"2h, 50m, 37s",10237.9,886,3000,25,0
"2h, 55m, 39s",10539.1,886,3000,26,0
"3h, 40s",10840.1,886,3000,26,0
"3h, 5m, 41s",11141.2,886,3000,27,0
"3h, 10m, 42s",11442.4,882,3000,28,0
"3h, 15m, 43s",11743.5,882,3000,29,0
"3h, 20m, 44s",12044.6,884,3000,29,0
"3h, 25m, 45s",12345.7,884,3000,30,0
"3h, 30m, 46s",12646.8,882,3000,31,0
"3h, 35m, 47s",12947.9,884,3000,32,0
"3h, 40m, 49s",13249.0,882,3000,32,0
"3h, 45m, 50s",13550.0,886,3000,33,0
"3h, 50m, 51s",13851.1,882,3000,34,0
"3h, 55m, 52s",14152.3,882,3000,35,0
"4h, 53s",14453.4,884,3000,35,0
"4h, 5m, 54s",14754.5,886,3000,36,0
"4h, 10m, 55s",15055.6,884,3000,37,0
"4h, 15m, 56s",15356.7,888,3000,38,0
"4h, 20m, 57s",15657.8,886,3000,38,0
"4h, 25m, 58s",15958.9,886,3000,39,0
"4h, 31m, 0s",16260.0,886,3000,40,0
"4h, 36m, 1s",16561.1,884,3000,41,0
"4h, 41m, 2s",16862.3,884,3000,41,0
"4h, 46m, 3s",17163.4,882,3000,42,0
"4h, 51m, 4s",17464.5,884,3000,43,0
"4h, 56m, 5s",17765.6,878,3000,43,0
"5h, 1m, 6s",18066.7,882,3000,44,0
"5h, 6m, 7s",18367.8,882,3000,45,0
"5h, 11m, 8s",18668.9,878,3000,46,0
"5h, 16m, 10s",18970.0,880,3000,46,0
"5h, 21m, 11s",19271.1,880,3000,47,0
"5h, 26m, 12s",19572.2,880,3000,48,0
"5h, 31m, 13s",19873.3,882,3000,49,0
"5h, 36m, 14s",20174.4,880,3000,49,0
"5h, 41m, 15s",20475.5,878,3000,50,0
"5h, 46m, 16s",20776.5,882,3000,51,0
"5h, 51m, 17s",21077.6,882,3000,52,0
"5h, 56m, 18s",21378.7,882,3000,52,0
"6h, 1m, 19s",21679.8,884,3000,53,0
"6h, 6m, 20s",21980.9,886,3000,54,0
"6h, 11m, 22s",22282.0,882,3000,55,0
"13h, 22m, 24s",48144.0,886,3000,119,0
"13h, 27m, 25s",48445.2,884,3000,120,0
"13h, 32m, 26s",48746.3,882,3000,120,0
"13h, 37m, 27s",49047.4,896,3000,121,0
"13h, 42m, 28s",49348.6,892,3000,122,0
"13h, 47m, 29s",49649.7,892,3000,122,0
"13h, 52m, 30s",49950.8,892,3000,123,0
"13h, 57m, 31s",50251.9,886,3000,124,0
"14h, 2m, 33s",50553.0,884,3000,125,0
"14h, 7m, 34s",50854.1,884,3000,125,0
"14h, 12m, 35s",51155.2,886,3000,126,0
"14h, 17m, 36s",51456.3,886,3000,127,0
