File Name,LongTermTest1,,,
Date,2018-10-30,,,
Test Info,User had no comments,,,
Directory,C:\emms\test\LongTermTest1.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
61.1,902,3000,0,0
122.3,900,3000,0,0
183.4,902,3000,0,0
244.5,904,3000,0,0
305.6,904,3000,0,0
366.7,902,3000,0,0
427.9,902,3000,1,0
489.0,902,3000,1,0
550.1,900,3000,1,0
611.2,904,3000,1,0
672.3,902,3000,1,0
733.5,902,3000,1,0
794.6,902,3000,2,0
855.7,900,3000,2,0
916.8,898,3000,2,0
977.9,900,3000,2,0
1039.1,898,3000,2,0
1100.2,898,3000,2,0
1161.4,898,3000,2,0
1222.6,900,3000,3,0
1283.7,896,3000,3,0
1344.9,898,3000,3,0
1406.0,896,3000,3,0
1467.2,900,3000,3,0
1528.3,896,3000,3,0
1589.5,894,3000,4,0
1650.6,898,3000,4,0
1711.8,896,3000,4,0
1773.0,896,3000,4,0
1834.2,896,3000,4,0
1895.3,894,3000,4,0
1956.5,894,3000,4,0
2017.7,892,3000,5,0
2078.8,892,3000,5,0
2140.0,892,3000,5,0
2201.1,890,3000,5,0
2262.3,888,3000,5,0
2323.5,886,3000,5,0
2384.6,886,3000,6,0
2445.8,886,3000,6,0
2507.0,888,3000,6,0
2568.1,886,3000,6,0
2629.3,888,3000,6,0
2690.5,892,3000,6,0
2751.7,888,3000,6,0
2812.8,892,3000,7,0
2873.9,890,3000,7,0
2935.1,890,3000,7,0
2996.2,892,3000,7,0
3057.4,890,3000,7,0
3118.5,894,3000,7,0
3179.6,894,3000,7,0
3240.7,892,3000,8,0
3301.9,892,3000,8,0
3363.1,892,3000,8,0
3424.3,892,3000,8,0
3485.4,892,3000,8,0
3546.5,894,3000,8,0
3607.6,894,3000,9,0
3668.8,892,3000,9,0
3729.9,892,3000,9,0
3791.0,894,3000,9,0
3852.2,894,3000,9,0
3913.3,892,3000,9,0
3974.4,894,3000,9,0
4035.6,894,3000,10,0
4096.7,896,3000,10,0
4157.8,894,3000,10,0
4218.9,894,3000,10,0
4280.1,894,3000,10,0
4341.2,892,3000,10,0
4402.3,894,3000,11,0
4463.4,892,3000,11,0
4524.6,892,3000,11,0
4585.7,894,3000,11,0
4646.8,892,3000,11,0
4708.0,892,3000,11,0
4769.1,892,3000,11,0
4830.2,892,3000,12,0
4891.3,894,3000,12,0
4952.5,892,3000,12,0
5013.6,890,3000,12,0
5074.7,888,3000,12,0
5135.8,890,3000,12,0
5196.9,890,3000,12,0
5258.0,890,3000,13,0
5319.1,892,3000,13,0
5380.3,892,3000,13,0
5441.4,892,3000,13,0
5502.5,890,3000,13,0
5563.6,890,3000,13,0
5624.7,890,3000,14,0
5685.9,890,3000,14,0
5747.0,890,3000,14,0
5808.1,890,3000,14,0
5869.3,892,3000,14,0
5930.4,892,3000,14,0
5991.5,892,3000,14,0
6052.6,894,3000,15,0
6113.7,890,3000,15,0
6174.8,894,3000,15,0
6235.9,894,3000,15,0
6297.1,894,3000,15,0
6358.2,892,3000,15,0
6419.4,890,3000,16,0
6480.6,892,3000,16,0
6541.7,888,3000,16,0
6602.8,892,3000,16,0
6664.0,892,3000,16,0
6725.1,894,3000,16,0
6786.2,894,3000,16,0
6847.3,892,3000,17,0
51218.0,882,3000,127,0
51279.2,878,3000,127,-544
77470.4,902,3000,192,-544
77531.6,904,3000,192,-544
77592.7,904,3000,192,-544
77653.8,904,3000,192,-544
77714.9,904,3000,192,-544
77776.0,906,3000,193,-544
77836.9,906,3000,193,-544
77897.8,906,3000,193,-544
77958.6,908,3000,193,-544
78019.4,900,3000,193,-544
78080.3,896,3000,193,-544
78141.5,896,3000,193,-544
78202.6,896,3000,194,-544
78263.7,898,3000,194,-544
78324.9,896,3000,194,-544
78386.0,894,3000,194,-544
78447.2,894,3000,194,-544
78508.3,894,3000,194,-544
78569.4,894,3000,195,-544
78630.5,892,3000,195,-544
78691.6,894,3000,195,-544
78752.8,896,3000,195,-544
78813.9,896,3000,195,-544
78875.0,896,3000,195,-544
78936.2,894,3000,195,-544
78997.3,896,3000,196,-544
79058.5,896,3000,196,-544
79119.7,896,3000,196,-544
79180.8,896,3000,196,-544
79241.9,894,3000,196,-544
79303.0,896,3000,196,-544
79364.2,894,3000,197,-544
79425.3,894,3000,197,-544
79486.4,896,3000,197,-544
79547.6,894,3000,197,-544
79608.7,896,3000,197,-544
79669.8,896,3000,197,-544
79731.0,896,3000,197,-544
79792.1,892,3000,198,-544
79853.2,892,3000,198,-544
79914.4,894,3000,198,-544
79975.6,894,3000,198,-544
80036.7,894,3000,198,-544
80097.8,894,3000,198,-544
80158.9,894,3000,199,-544
80220.0,896,3000,199,-544
80281.1,892,3000,199,-544
80342.3,894,3000,199,-544
80403.4,894,3000,199,-544
80464.5,896,3000,199,-544
80525.6,896,3000,199,-544
80586.7,896,3000,200,-544
80647.9,896,3000,200,-544
80709.0,894,3000,200,-544
80770.1,894,3000,200,-544
80831.2,896,3000,200,-544
80892.3,896,3000,200,-544
80953.5,896,3000,200,-544
81014.6,896,3000,201,-544
137568.3,876,3000,342,-544
137629.4,880,3000,343,-544
137690.5,880,3000,343,-544
171513.7,904,3000,427,-544
171574.8,904,3000,427,-544
171635.9,908,3000,427,-544
171697.0,912,3000,428,-544
171758.1,914,3000,428,-544
171819.3,910,3000,428,-544
171880.2,912,3000,428,-544
171941.2,914,3000,428,-544
172002.1,912,3000,428,-544
172063.1,912,3000,429,-544
172124.1,914,3000,429,-544
172185.2,912,3000,429,-544
172246.3,910,3000,429,-544
172307.4,910,3000,429,-544
172368.5,910,3000,429,-544
172429.7,906,3000,429,-544
172490.8,910,3000,430,-544
172552.0,908,3000,430,-544
172613.1,906,3000,430,-544
172674.2,906,3000,430,-544
172745.6,902,3000,430,-544
173494.6,904,3000,432,-544
173555.8,904,3000,432,-544
173616.9,904,3000,432,-544
173678.1,906,3000,433,-544
173739.2,908,3000,433,-544
173800.3,908,3000,433,-544
173861.3,906,3000,433,-544
173922.2,904,3000,433,-544
173983.1,906,3000,433,-544
174044.2,906,3000,434,-544
174105.3,902,3000,434,-544
174166.4,906,3000,434,-544
174227.5,906,3000,434,-544
174288.6,904,3000,434,-544
174349.8,904,3000,434,-544
174410.9,904,3000,434,-544
174472.1,906,3000,435,-544
174533.2,902,3000,435,-544
174594.4,904,3000,435,-544
174655.5,904,3000,435,-544
174716.6,902,3000,435,-544
174777.8,904,3000,435,-544
174838.9,904,3000,436,-544
174900.1,904,3000,436,-544
174961.2,904,3000,436,-544
175022.4,904,3000,436,-544
175083.5,902,3000,436,-544
175144.7,904,3000,436,-544
175205.8,902,3000,436,-544
175267.0,896,3000,437,-544
175328.1,898,3000,437,-544
175389.3,902,3000,437,-544
175450.5,904,3000,437,-544
175511.6,902,3000,437,-544
175572.7,904,3000,437,-544
175633.9,904,3000,438,-544
175695.0,904,3000,438,-544
175756.1,904,3000,438,-544
175817.2,904,3000,438,-544
175878.4,904,3000,438,-544
175939.5,904,3000,438,-544
176000.6,902,3000,438,-544
176061.7,904,3000,439,-544
176122.8,902,3000,439,-544
176184.0,904,3000,439,-544
176245.1,902,3000,439,-544
176306.2,904,3000,439,-544
176367.3,906,3000,439,-544
176428.5,904,3000,440,-544
176489.6,904,3000,440,-544
176550.7,904,3000,440,-544
176611.8,904,3000,440,-544
176673.0,902,3000,440,-544
176734.1,904,3000,440,-544
176795.2,904,3000,440,-544
176856.3,904,3000,441,-544
176917.5,902,3000,441,-544
176978.6,902,3000,441,-544
177039.7,904,3000,441,-544
177100.8,906,3000,441,-544
177162.0,906,3000,441,-544
177223.1,902,3000,442,-544
177284.2,902,3000,442,-544
177345.4,900,3000,442,-544
177406.5,902,3000,442,-544
177467.7,902,3000,442,-544
177528.8,900,3000,442,-544
177590.0,900,3000,442,-544
177651.1,900,3000,443,-544
177712.2,900,3000,443,-544
177773.4,900,3000,443,-544
177834.5,900,3000,443,-544
177895.7,900,3000,443,-544
177956.8,900,3000,443,-544
178017.9,898,3000,444,-544
178079.1,896,3000,444,-544
178140.2,900,3000,444,-544
178201.4,898,3000,444,-544
178262.5,898,3000,444,-544
178323.6,898,3000,444,-544
178384.7,896,3000,444,-544
178445.9,896,3000,445,-544
178507.0,894,3000,445,-544
178568.1,896,3000,445,-544
178629.2,896,3000,445,-544
178690.4,896,3000,445,-544
178751.5,898,3000,445,-544
178812.6,896,3000,445,-544
178873.8,898,3000,446,-544
178934.9,896,3000,446,-544
178996.1,898,3000,446,-544
179057.2,898,3000,446,-544
179118.3,898,3000,446,-544
179179.5,898,3000,446,-544
179240.6,898,3000,447,-544
179301.8,898,3000,447,-544
179362.9,900,3000,447,-544
179424.0,900,3000,447,-544
179485.2,898,3000,447,-544
179546.3,896,3000,447,-544
179607.4,896,3000,447,-544
179668.5,898,3000,448,-544
179729.7,900,3000,448,-544
179790.8,900,3000,448,-544
179851.9,898,3000,448,-544
179913.0,900,3000,448,-544
179974.2,900,3000,448,-544
180035.3,900,3000,449,-544
180096.4,898,3000,449,-544
180157.6,900,3000,449,-544
180218.6,900,3000,449,-544
180279.8,902,3000,449,-544
180340.9,900,3000,449,-544
180402.0,900,3000,449,-544
180463.2,898,3000,450,-544
180524.3,896,3000,450,-544
180585.4,898,3000,450,-544
180646.5,900,3000,450,-544
180707.7,894,3000,450,-544
180768.8,896,3000,450,-544
180829.9,894,3000,451,-544
180891.1,898,3000,451,-544
180952.2,896,3000,451,-544
181013.4,898,3000,451,-544
181074.5,896,3000,451,-544
181135.6,896,3000,451,-544
181196.8,896,3000,451,-544
181257.9,896,3000,452,-544
181319.0,896,3000,452,-544
181380.2,896,3000,452,-544
181441.3,898,3000,452,-544
181502.4,896,3000,452,-544
181563.5,898,3000,452,-544
181624.7,896,3000,453,-544
181685.8,896,3000,453,-544
181747.0,896,3000,453,-544
181808.1,894,3000,453,-544
181869.2,896,3000,453,-544
181930.3,896,3000,453,-544
181991.5,902,3000,453,-544
182052.6,902,3000,454,-544
182113.7,902,3000,454,-544
182174.9,900,3000,454,-544
182236.1,900,3000,454,-544
182297.2,902,3000,454,-544
182358.3,900,3000,454,-544
182419.4,898,3000,454,-544
182480.6,898,3000,455,-544
182541.7,900,3000,455,-544
182602.8,900,3000,455,-544
182663.9,900,3000,455,-544
182725.1,898,3000,455,-544
182786.2,898,3000,455,-544
182847.4,902,3000,456,-544
182908.5,902,3000,456,-544
182969.6,900,3000,456,-544
183030.7,900,3000,456,-544
183091.9,902,3000,456,-544
183153.0,902,3000,456,-544
183214.2,904,3000,456,-544
183275.3,902,3000,457,-544
183336.5,902,3000,457,-544
183397.6,904,3000,457,-544
183458.7,904,3000,457,-544
183519.8,902,3000,457,-544
183580.9,904,3000,457,-544
183642.1,902,3000,458,-544
183703.2,902,3000,458,-544
183764.4,902,3000,458,-544
183825.5,902,3000,458,-544
183886.7,902,3000,458,-544
183947.8,902,3000,458,-544
184009.0,904,3000,458,-544
184070.1,902,3000,459,-544
184131.2,904,3000,459,-544
184192.4,902,3000,459,-544
184253.5,904,3000,459,-544
184314.6,904,3000,459,-544
184375.8,904,3000,459,-544
184437.0,904,3000,460,-544
184498.1,904,3000,460,-544
184559.2,904,3000,460,-544
184620.3,904,3000,460,-544
184681.4,906,3000,460,-544
184742.5,904,3000,460,-544
184803.7,902,3000,460,-544
184864.8,902,3000,461,-544
184926.0,904,3000,461,-544
184987.1,904,3000,461,-544
185048.2,904,3000,461,-544
185109.4,904,3000,461,-544
185170.5,904,3000,461,-544
185231.6,904,3000,462,-544
185292.7,904,3000,462,-544
185353.9,904,3000,462,-544
185415.0,904,3000,462,-544
185476.1,900,3000,462,-544
185537.2,900,3000,462,-544
185598.4,900,3000,462,-544
185659.5,900,3000,463,-544
185720.6,896,3000,463,-544
185781.7,898,3000,463,-544
185842.8,898,3000,463,-544
185904.0,900,3000,463,-544
185965.1,894,3000,463,-544
186026.2,896,3000,464,-544
186087.4,896,3000,464,-544
186148.6,894,3000,464,-544
186209.8,896,3000,464,-544
186271.0,900,3000,464,-544
186332.1,900,3000,464,-544
186393.2,900,3000,464,-544
186454.4,904,3000,465,-544
186515.5,906,3000,465,-544
186576.7,906,3000,465,-544
186637.8,902,3000,465,-544
186698.9,906,3000,465,-544
186760.1,906,3000,465,-544
186821.2,908,3000,466,-544
186882.3,906,3000,466,-544
186943.5,904,3000,466,-544
187004.6,908,3000,466,-544
187065.8,906,3000,466,-544
187126.9,906,3000,466,-544
187188.0,906,3000,466,-544
187249.1,908,3000,467,-544
187310.2,908,3000,467,-544
187371.3,906,3000,467,-544
187432.5,906,3000,467,-544
187493.6,906,3000,467,-544
187554.7,904,3000,467,-544
187615.9,904,3000,468,-544
187677.0,906,3000,468,-544
187738.1,906,3000,468,-544
187799.3,904,3000,468,-544
187860.4,906,3000,468,-544
187921.5,906,3000,468,-544
187982.7,904,3000,468,-544
188043.8,904,3000,469,-544
188104.9,904,3000,469,-544
188166.1,904,3000,469,-544
188227.2,904,3000,469,-544
188288.3,902,3000,469,-544
188349.5,902,3000,469,-544
188410.6,900,3000,470,-544
188471.7,902,3000,470,-544
188532.8,898,3000,470,-544
188593.9,900,3000,470,-544
188655.1,902,3000,470,-544
188716.2,904,3000,470,-544
188777.4,904,3000,470,-544
188838.5,902,3000,471,-544
188899.6,902,3000,471,-544
188960.8,904,3000,471,-544
189021.9,902,3000,471,-544
189083.1,904,3000,471,-544
189144.2,904,3000,471,-544
189205.3,902,3000,472,-544
189266.5,906,3000,472,-544
189327.7,904,3000,472,-544
189388.8,904,3000,472,-544
189450.0,900,3000,472,-544
