File Name,LongTermTest3,,,,,
Date,11/6/2018,,,,,
Time,11:28:26,,,,,
Test Info,\,,,,,
Directory,C:\emms\test\LongTermTest3.csv,,,,,
,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,
"1m, 1s",884,3000,0,0,,
"2m, 2s",884,3000,0,0,,
"3m, 3s",884,3000,0,0,,
"4m, 4s",882,3000,1,0,,
"5m, 5s",884,3000,1,0,,
"6m, 6s",886,3000,1,0,,
"7m, 7s",884,3000,1,0,,
"8m, 9s",880,3000,1,0,,
"9m, 10s",880,3000,1,0,,
"10m, 11s",882,3000,2,0,,
"11m, 12s",882,3000,2,0,,
"12m, 13s",880,3000,2,0,,
"13m, 14s",882,3000,2,0,,
"14m, 15s",884,3000,2,0,,
"15m, 16s",880,3000,2,0,,
"16m, 18s",880,3000,2,0,,
"17m, 19s",874,3000,3,0,,
"18m, 20s",876,3000,3,0,,
"19m, 21s",880,3000,3,0,,
"20m, 22s",882,3000,3,0,,
"21m, 23s",880,3000,3,0,,
"22m, 24s",882,3000,3,0,,
"23m, 25s",884,3000,3,0,,
"24m, 27s",882,3000,4,0,,
"25m, 28s",884,3000,4,0,,
"26m, 29s",882,3000,4,0,,
"27m, 30s",880,3000,4,0,,
"28m, 31s",882,3000,4,0,,
"29m, 32s",878,3000,4,0,,
"30m, 33s",880,3000,5,0,,
"31m, 34s",882,3000,5,0,,
"32m, 35s",882,3000,5,0,,
"33m, 37s",884,3000,5,0,,
"34m, 38s",882,3000,5,0,,
"35m, 39s",884,3000,5,0,,
"36m, 40s",880,3000,5,0,,
"37m, 41s",882,3000,6,0,,
"38m, 42s",884,3000,6,0,,
"39m, 43s",884,3000,6,0,,
"40m, 44s",886,3000,6,0,,
"41m, 46s",886,3000,6,0,,
"42m, 47s",884,3000,6,0,,
"43m, 48s",884,3000,6,0,,
"44m, 49s",882,3000,7,0,,
"45m, 50s",884,3000,7,0,,
"46m, 51s",882,3000,7,0,,
"47m, 52s",882,3000,7,0,,
"48m, 53s",882,3000,7,0,,
"49m, 55s",882,3000,7,0,,
"50m, 56s",880,3000,8,0,,
"51m, 57s",880,3000,8,0,,
"52m, 58s",880,3000,8,0,,
"53m, 59s",880,3000,8,0,,
"55m, 0s",880,3000,8,0,,
"56m, 1s",882,3000,8,0,,
"57m, 3s",884,3000,8,0,,
"58m, 4s",884,3000,9,0,,
"59m, 5s",884,3000,9,0,,
"1h, 6s",884,3000,9,0,,
"1h, 1m, 7s",884,3000,9,0,,
"1h, 2m, 8s",880,3000,9,0,,
"1h, 3m, 9s",880,3000,9,0,,
"1h, 4m, 10s",880,3000,9,0,,
"1h, 5m, 12s",880,3000,10,0,,
"1h, 6m, 13s",880,3000,10,0,,
"1h, 7m, 14s",878,3000,10,0,,
"1h, 8m, 15s",880,3000,10,0,,
"1h, 9m, 16s",882,3000,10,0,,
"1h, 10m, 17s",880,3000,10,0,,
"1h, 11m, 18s",882,3000,11,0,,
"1h, 12m, 20s",880,3000,11,0,,
"1h, 13m, 21s",882,3000,11,0,,
"1h, 14m, 22s",884,3000,11,0,,
"1h, 15m, 23s",882,3000,11,0,,
"1h, 16m, 24s",882,3000,11,0,,
"1h, 17m, 25s",884,3000,11,0,,
"1h, 18m, 26s",884,3000,12,0,,
"1h, 19m, 27s",882,3000,12,0,,
"1h, 20m, 29s",882,3000,12,0,,
"1h, 21m, 30s",880,3000,12,0,,
"1h, 22m, 31s",880,3000,12,0,,
"1h, 23m, 32s",882,3000,12,0,,
"1h, 24m, 33s",882,3000,12,0,,
"1h, 25m, 34s",884,3000,13,0,,
"1h, 26m, 35s",882,3000,13,0,,
"1h, 27m, 36s",882,3000,13,0,,
"1h, 28m, 37s",884,3000,13,0,,
"1h, 29m, 39s",884,3000,13,0,,
"1h, 30m, 40s",884,3000,13,0,,
"1h, 31m, 41s",882,3000,14,0,,
"1h, 32m, 42s",882,3000,14,0,,
"1h, 33m, 43s",884,3000,14,0,,
"1h, 34m, 44s",884,3000,14,0,,
